Rk,Player,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%
125,Luka Don?i?,23,66,36.2,32.4,8.6,8,1.4,0.5,0.496,0.342,0.742
126,Tyler Dorsey,26,3,2.7,3,0.7,0,0,0,0.8,0.5,0
127,Luguentz Dort,23,74,30.7,13.7,4.6,2.1,1,0.3,0.388,0.33,0.772
128,Ayo Dosunmu,23,80,26.2,8.6,2.8,2.6,0.8,0.3,0.493,0.312,0.805
129,Devon Dotson,23,6,8.8,0.5,1.7,1.3,0.8,0,0.1,0.25,0
130,Jeff Dowtin,25,25,10.4,2.4,0.9,1.2,0.4,0.1,0.439,0.313,0.667
131,PJ Dozier,26,16,4.9,1.4,0.9,0.6,0.4,0.1,0.303,0.125,0
132,Goran Dragi?,36,58,15,6.3,1.4,2.6,0.2,0.1,0.421,0.359,0.689
132,Goran Dragi?,36,51,15.4,6.4,1.4,2.7,0.2,0.1,0.425,0.352,0.659
132,Goran Dragi?,36,7,11.9,5.6,1.7,1.7,0.3,0,0.389,0.412,1
133,Andre Drummond,29,67,12.7,6,6.6,0.5,0.7,0.4,0.606,0,0.536
134,Chris Duarte,25,46,19.5,7.9,2.5,1.4,0.5,0.2,0.369,0.316,0.847
135,David Duke Jr.,23,23,9.9,3.7,1.3,0.9,0.4,0,0.462,0.083,0.706
136,Kris Dunn,28,22,25.8,13.2,4.5,5.6,1.1,0.5,0.537,0.472,0.774
137,Kevin Durant,34,47,35.6,29.1,6.7,5,0.7,1.4,0.56,0.404,0.919
137,Kevin Durant,34,39,36,29.7,6.7,5.3,0.8,1.5,0.559,0.376,0.934
137,Kevin Durant,34,8,33.6,26,6.4,3.5,0.3,1.3,0.57,0.537,0.833
138,Jalen Duren,19,67,24.9,9.1,8.9,1.1,0.7,0.9,0.648,0,0.611
139,Tari Eason,21,82,21.5,9.3,6,1.1,1.2,0.6,0.448,0.343,0.752
140,Anthony Edwards,21,79,36,24.6,5.8,4.4,1.6,0.7,0.459,0.369,0.756
141,Kessler Edwards,22,36,10.7,2.8,1.7,0.6,0.4,0.2,0.387,0.309,0.733
141,Kessler Edwards,22,14,5.6,1.1,1,0.1,0.2,0.1,0.25,0.167,0.5
141,Kessler Edwards,22,22,13.9,3.9,2.1,1,0.5,0.2,0.435,0.349,0.769
142,Keon Ellis,23,16,4.4,1.5,0.5,0.4,0.3,0.1,0.438,0.5,0.571
144,Drew Eubanks,25,78,20.3,6.6,5.4,1.3,0.5,1.3,0.641,0.389,0.664
145,Bruno Fernando,24,39,10.4,3.9,3.5,0.8,0.2,0.9,0.527,0,0.7
145,Bruno Fernando,24,31,11.7,4.1,3.9,1,0.2,1,0.516,0,0.682
145,Bruno Fernando,24,8,5.1,3.4,1.9,0.1,0,0.4,0.579,0,0.833
146,Dorian Finney-Smith,29,66,30.4,8.3,4.8,1.5,0.8,0.5,0.391,0.337,0.763
146,Dorian Finney-Smith,29,40,32.2,9.1,4.7,1.5,1,0.5,0.416,0.355,0.75
146,Dorian Finney-Smith,29,26,27.7,7.2,4.9,1.6,0.7,0.6,0.351,0.306,0.789
147,Malachi Flynn,24,53,13,4.6,1.4,1.3,0.4,0.1,0.36,0.353,0.758
148,Simone Fontecchio,27,52,14.7,6.3,1.7,0.8,0.3,0.2,0.369,0.33,0.795
149,Bryn Forbes,29,25,10.7,3.6,0.6,0.7,0.3,0.1,0.361,0.304,1
150,Trent Forrest,24,23,12,2.3,1.6,1.7,0.3,0.1,0.417,0,0.667
151,Michael Foster Jr.,20,1,1,0,0,0,0,0,0,0,0
152,Evan Fournier,30,27,17,6.1,1.8,1.3,0.6,0.1,0.337,0.307,0.857
153,De'Aaron Fox,25,73,33.4,25,4.2,6.1,1.1,0.3,0.512,0.324,0.78
154,Markelle Fultz,24,60,29.6,14,3.9,5.7,1.5,0.4,0.514,0.31,0.783
155,Wenyen Gabriel,25,68,15.1,5.5,4.2,0.5,0.4,0.5,0.596,0.278,0.619
156,Daniel Gafford,24,78,20.6,9,5.6,1.1,0.4,1.3,0.732,0,0.679
157,Darius Garland,23,69,35.5,21.6,2.7,7.8,1.2,0.1,0.462,0.41,0.863
158,Usman Garuba,20,75,12.9,3,4.1,0.9,0.6,0.4,0.486,0.407,0.617
159,Luka Garza,24,28,8.7,6.5,2.3,0.6,0.1,0.1,0.543,0.359,0.788
160,Rudy Gay,36,56,14.6,5.2,2.9,1,0.3,0.3,0.38,0.254,0.857
161,Paul George,32,56,34.6,23.8,6.1,5.1,1.5,0.4,0.457,0.371,0.871
162,Taj Gibson,37,49,9.8,3.4,1.9,0.7,0.3,0.2,0.52,0.333,0.714
163,Josh Giddey,20,76,31.1,16.6,7.9,6.2,0.8,0.4,0.482,0.325,0.731
164,Shai Gilgeous-Alexander,24,68,35.5,31.4,4.8,5.5,1.6,1,0.51,0.345,0.905
165,Anthony Gill,30,59,10.6,3.3,1.7,0.6,0.1,0.2,0.538,0.138,0.731
166,Jacob Gilyard,24,1,41,3,4,7,3,0,0.333,0.333,0
167,Rudy Gobert,30,70,30.7,13.4,11.6,1.2,0.8,1.4,0.659,0,0.644
168,Jordan Goodwin,24,62,17.8,6.6,3.3,2.7,0.9,0.4,0.448,0.322,0.768
169,Aaron Gordon,27,68,30.2,16.3,6.6,3,0.8,0.8,0.564,0.347,0.608
170,Eric Gordon,34,69,28.5,12.4,1.9,2.7,0.6,0.4,0.446,0.371,0.821
170,Eric Gordon,34,47,30.2,13.1,2.1,2.9,0.6,0.4,0.439,0.347,0.815
170,Eric Gordon,34,22,24.9,11,1.7,2.1,0.6,0.4,0.463,0.423,0.842
171,Devonte' Graham,27,73,18.3,7.4,1.7,2.7,0.6,0.2,0.374,0.352,0.748
171,Devonte' Graham,27,53,15.3,5.3,1.4,2.2,0.6,0.2,0.368,0.347,0.746
171,Devonte' Graham,27,20,26.4,13,2.5,4,0.8,0.3,0.38,0.358,0.75
172,Jerami Grant,28,63,35.7,20.5,4.5,2.4,0.8,0.8,0.475,0.401,0.813
173,RaiQuan Gray,23,1,35,16,9,7,0,1,0.5,0.4,1
174,A.J. Green,23,35,9.9,4.4,1.3,0.6,0.2,0,0.424,0.419,1
175,Danny Green,35,11,12.5,5.5,1.3,0.5,0.5,0.3,0.449,0.432,1
175,Danny Green,35,3,14.3,3,1.3,0.7,0.3,0,0.273,0.375,0
175,Danny Green,35,8,11.9,6.5,1.3,0.5,0.6,0.4,0.5,0.448,1
176,Draymond Green,32,73,31.5,8.5,7.2,6.8,1,0.8,0.527,0.305,0.713
177,Jalen Green,20,76,34.2,22.1,3.7,3.7,0.8,0.2,0.416,0.338,0.786
178,JaMychal Green,32,57,14,6.4,3.6,0.9,0.4,0.4,0.54,0.378,0.776
179,Javonte Green,29,32,15,5.2,2.8,0.7,0.8,0.7,0.565,0.371,0.667
180,Jeff Green,36,56,19.5,7.8,2.6,1.2,0.3,0.3,0.488,0.288,0.744
181,Josh Green,22,60,25.7,9.1,3,1.7,0.7,0.1,0.537,0.402,0.723
182,AJ Griffin,19,72,19.5,8.9,2.1,1,0.6,0.2,0.465,0.39,0.894
183,Blake Griffin,33,41,13.9,4.1,3.8,1.5,0.3,0.2,0.485,0.348,0.656
184,Quentin Grimes,22,71,29.9,11.3,3.2,2.1,0.7,0.4,0.468,0.386,0.796
185,Rui Hachimura,24,63,23.3,11.2,4.5,0.9,0.3,0.4,0.486,0.319,0.739
185,Rui Hachimura,24,30,24.3,13,4.3,1.2,0.4,0.4,0.488,0.337,0.759
